College,PG Name,Location,Gender,DistanceFromCollege,Room Types,Price (_/month),Amenities,Images
NMIT,Serov House,Yelahanka,Female,~5 km,"Double, Triple","8,599 - 9,999","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPulTZEmDsR-lMmy57QgT-m-KiJAtNX_uoYg&s
NMIT,Albury House,Yelahanka,Male,~5.5 km,"Double, Triple","8,299 - 9,299","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA3FacCE_3rmrwGUzq1PP10Ks0OxrC6Upcrw&s
NMIT,Watford House,Nagenahalli,Male,~6.1 km,"Double, Triple","7,299 - 8,099","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJyBdLEivudsyjNeFygl8I2W0nnAjDN52IcA&s
NMIT,Glencoe House,Nagenahalli,Male,~6.2 km,"Double, Triple, Quad","7,399 - 7,799","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpatPGMpXRyaNPpx7owLgCObX1YEa4ATLnbA&s
NMIT,Salta House,Nagenahalli,Unisex,~7.1 km,Double,"9,999 - 13,000","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBM7rUGff98KlONrGiAs4ClXhqEAB4nmECGg&s
NMIT,Salento House,Harohalli,Male,~7.1 km,Double,"11,499 - 19,000","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdytXG7N5Jbxz-DXmPjAdNScCbrDwIJ2dzeA&s
NMIT,Vernon House,Harohalli,Male,~7.2 km,"Triple, Quad","7,999 - 9,999 ","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoog8Fhgw9s7nMLjuOaVFJSq-eCEgw9LHDlA&s
NMIT,Ibarra House,Harohalli,Female,~7.2 km,"Double, Triple, Quad","7,999 - 9,999 ","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdRZwC453ZfizxBcpwwye53qMjZD6Jj6OR6Q&s
NMIT,Incheon House,Harohalli,Male,~7.2 km,"Triple, Quad","11,499 - 19,000","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrY68VIXIjSFvFiwHt-aVzfeJ9-wpy_k328Q&s
NMIT,Newport House,Harohalli,Unisex,~7.2 km,Double,"11,000 - 13,000","Food, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiGdCOtx_ikChmBLKgIJe1mcfiRHAz1lGURA&s
